model,benchmark,category,template,count,denominator,percentage
DeepSeek-Prover-V2-7B,miniF2F,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",18,4073,0.441935
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,function expected at 'ID',16,4073,0.392831
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"aesop: error in norm simp: tactic 'ID' failed, nested error",14,4073,0.343727
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"tactic 'ID' failed, motive is not type correct",14,4073,0.343727
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,no goals to be solved,11,4073,0.270071
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,failed to prove positivity/nonnegativity/nonzeroness,9,4073,0.220967
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',8,4073,0.196415
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type",7,4073,0.171863
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,"invalid field notation, type is not of the form (C ...) where C is a constant",7,4073,0.171863
DeepSeek-Prover-V2-7B,miniF2F,Resource exhaustion,maximum recursion depth has been reached,6,4073,0.147312
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,interval_cases failed: could not find upper bound on 'TERM',6,4073,0.147312
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,tactic 'ID' failed,6,4073,0.147312
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,alternative 'ID' has not been provided,4,4073,0.098208
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,tactic 'ID' proved that the proposition,4,4073,0.098208
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,unexpected token 'TOKEN'; expected command,3,4073,0.073656
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,interval_cases failed: unsupported type 'TYPE',3,4073,0.073656
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,no applicable extensionality theorem found for 'TYPE',3,4073,0.073656
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"ring failed, ring expressions not equal",3,4073,0.073656
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",3,4073,0.073656
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,"invalid field notation, identifier or numeral expected",3,4073,0.073656
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,unexpected identifier; expected 'TOKEN',2,4073,0.049104
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"failed to prove nonzeroness, but it would be possible to prove nonnegativity if desired",2,4073,0.049104
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,gcongr did not make progress,2,4073,0.049104
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,invalid alternative name 'ID',2,4073,0.049104
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,rcases tactic failed: 'ID' is not an inductive datatype,2,4073,0.049104
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,"invalid 'ID' notation, argument",2,4073,0.049104
DeepSeek-Prover-V2-7B,miniF2F,Missing instance,aesop: error in norm simp: failed to synthesize,1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,expected token,1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,unexpected end of input; expected 'TOKEN',1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,'ID' requires a term of the form 'ID' where 'ID' appears in the local context,1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonnegativity if desired",1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,not a positivity goal,1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"tactic 'ID' failed, insufficient number of binders",1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"tactic 'ID' failed, pattern is a metavariable",1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,"tactic failed, resulting expression contains metavariables",1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,don't know how to synthesize implicit argument 'ID',1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,don't know how to synthesize placeholder for argument 'ID',1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,expected type must not contain free or meta variables,1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,"invalid constructor ⟨...⟩, insufficient number of arguments for 'ID'",1,4073,0.024552
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,"invalid projection, structure expected",1,4073,0.024552
Goedel-32B,FATE-H,Unresolved name,unknown constant 'ID',7237,41748,17.334962
Goedel-32B,FATE-H,Missing instance,failed to synthesize instance of type class,6838,41748,16.379228
Goedel-32B,FATE-H,Unresolved name,unknown identifier 'ID',4966,41748,11.895181
Goedel-32B,FATE-H,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",4408,41748,10.558590
Goedel-32B,FATE-H,Unsolved goals,unsolved goals,4367,41748,10.460381
Goedel-32B,FATE-H,Type mismatch,type mismatch,3174,41748,7.602759
Goedel-32B,FATE-H,Type mismatch,application type mismatch: The argument,1663,41748,3.983424
Goedel-32B,FATE-H,Tactic failure,no goals to be solved,1271,41748,3.044457
Goedel-32B,FATE-H,Tactic failure,tactic 'ID' made no progress,1045,41748,2.503114
Goedel-32B,FATE-H,Type mismatch,invalid field notation: Field projection operates on types of the form 'ID' where C is a constant. The expression,943,41748,2.258791
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, nested error",645,41748,1.544984
Goedel-32B,FATE-H,Type mismatch,function expected at 'ID',577,41748,1.382102
Goedel-32B,FATE-H,Type mismatch,"type mismatch: After simplification, term",331,41748,0.792852
Goedel-32B,FATE-H,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",315,41748,0.754527
Goedel-32B,FATE-H,Missing instance,failed to synthesize,264,41748,0.632366
Goedel-32B,FATE-H,Type mismatch,"type expected, got",263,41748,0.629970
Goedel-32B,FATE-H,Tactic failure,linarith failed to find a contradiction,250,41748,0.598831
Goedel-32B,FATE-H,Tactic failure,tactic 'ID' failed,206,41748,0.493437
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, could not unify the conclusion of 'ID'",181,41748,0.433554
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",174,41748,0.416786
Goedel-32B,FATE-H,Tactic failure,omega could not prove the goal:,158,41748,0.378461
Goedel-32B,FATE-H,Type mismatch,"invalid 'ID' step, left-hand side is",144,41748,0.344927
Goedel-32B,FATE-H,Tactic failure,elaboration function for 'ID' has not been implemented,129,41748,0.308997
Goedel-32B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',128,41748,0.306602
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, insufficient number of binders",120,41748,0.287439
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",96,41748,0.229951
Goedel-32B,FATE-H,Unresolved name,"overloaded, errors",89,41748,0.213184
Goedel-32B,FATE-H,Missing instance,"synthesized type class instance is not definitionally equal to expression inferred by typing rules, synthesized",88,41748,0.210789
Goedel-32B,FATE-H,Missing instance,type class instance expected,88,41748,0.210789
Goedel-32B,FATE-H,Unresolved name,'ID' is not a field of structure 'ID',88,41748,0.210789
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, 'TERM'",82,41748,0.196417
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, motive is not type correct",76,41748,0.182045
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, the left-hand side does not match the right-hand side",74,41748,0.177254
Goedel-32B,FATE-H,Unresolved name,ambiguous term,68,41748,0.162882
Goedel-32B,FATE-H,Syntax error,expected token,63,41748,0.150905
Goedel-32B,FATE-H,Type mismatch,insufficient number of fields for 'ID' constructor,61,41748,0.146115
Goedel-32B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",58,41748,0.138929
Goedel-32B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected command,58,41748,0.138929
Goedel-32B,FATE-H,Tactic failure,case tag 'ID' not found,52,41748,0.124557
Goedel-32B,FATE-H,Type mismatch,fields missing: 'ID',52,41748,0.124557
Goedel-32B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or identifier,50,41748,0.119766
Goedel-32B,FATE-H,Tactic failure,invalid rewrite argument: expected an equality or iff proof or definition name,48,41748,0.114976
Goedel-32B,FATE-H,Type mismatch,don't know how to synthesize implicit argument 'ID',41,41748,0.098208
Goedel-32B,FATE-H,Missing instance,typeclass instance problem is stuck,38,41748,0.091022
Goedel-32B,FATE-H,Resource exhaustion,maximum recursion depth has been reached,35,41748,0.083836
Goedel-32B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or identifier",32,41748,0.076650
Goedel-32B,FATE-H,Type mismatch,invalid projection: Projection operates on structure-like types with fields. The expression,32,41748,0.076650
Goedel-32B,FATE-H,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",31,41748,0.074255
Goedel-32B,FATE-H,Type mismatch,invalid field notation: Type of,30,41748,0.071860
Goedel-32B,FATE-H,Type mismatch,invalid argument name 'ID' for function 'ID',28,41748,0.067069
Goedel-32B,FATE-H,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,26,41748,0.062278
Goedel-32B,FATE-H,Type mismatch,"invalid pattern variable 'ID', must be atomic",25,41748,0.059883
Goedel-32B,FATE-H,Tactic failure,could not synthesize default value for field 'ID' of 'ID' using tactics,22,41748,0.052697
Goedel-32B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type,21,41748,0.050302
Goedel-32B,FATE-H,Type mismatch,stuck at solving universe constraint,21,41748,0.050302
Goedel-32B,FATE-H,Type mismatch,"failed to prove index is valid, possible solutions:",20,41748,0.047906
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, no applicable constructor found",19,41748,0.045511
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, could not unify the type of 'ID'",17,41748,0.040721
Goedel-32B,FATE-H,Unresolved name,unknown tactic 'ID',17,41748,0.040721
Goedel-32B,FATE-H,Tactic failure,interval_cases failed: unsupported type 'TYPE',15,41748,0.035930
Goedel-32B,FATE-H,Type mismatch,invalid projection: Projection operates on types of the form 'ID' where C is a constant. The expression,15,41748,0.035930
Goedel-32B,FATE-H,Syntax error,unexpected identifier; expected command,14,41748,0.033535
Goedel-32B,FATE-H,Type mismatch,invalid projection: index 'ID' is invalid for this structure,13,41748,0.031139
Goedel-32B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type 'ID' is not an inductive type,12,41748,0.028744
Goedel-32B,FATE-H,Syntax error,unexpected syntax,11,41748,0.026349
Goedel-32B,FATE-H,Tactic failure,interval_cases failed: could not find upper bound on 'TERM',11,41748,0.026349
Goedel-32B,FATE-H,Tactic failure,tactic 'ID' proved that the proposition,11,41748,0.026349
Goedel-32B,FATE-H,Type mismatch,'ID' expression has type,11,41748,0.026349
Goedel-32B,FATE-H,Type mismatch,"invalid 'ID' step, right-hand side is",11,41748,0.026349
Goedel-32B,FATE-H,Type mismatch,mod_cast has type,11,41748,0.026349
Goedel-32B,FATE-H,Tactic failure,no applicable extensionality theorem found for 'TYPE',10,41748,0.023953
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",9,41748,0.021558
Goedel-32B,FATE-H,Type mismatch,expected type must not contain metavariables,9,41748,0.021558
Goedel-32B,FATE-H,Tactic failure,failed to rewrite using equation theorems for 'ID',8,41748,0.019163
Goedel-32B,FATE-H,Tactic failure,invalid alternative name 'ID',8,41748,0.019163
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",8,41748,0.019163
Goedel-32B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type of this term could not be determined,7,41748,0.016767
Goedel-32B,FATE-H,Syntax error,unexpected identifier,6,41748,0.014372
Goedel-32B,FATE-H,Tactic failure,alternative 'ID' has not been provided,6,41748,0.014372
Goedel-32B,FATE-H,Tactic failure,expected 'ID' or indented tactic sequence,6,41748,0.014372
Goedel-32B,FATE-H,Tactic failure,tactic 'ID' failed for proposition,6,41748,0.014372
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, expected the goal to be a binary relation",5,41748,0.011977
Goedel-32B,FATE-H,Type mismatch,"(↥) must have a function type, not",5,41748,0.011977
Goedel-32B,FATE-H,Type mismatch,invalid 'ID' notation: The expected type 'ID' has more than one constructor,5,41748,0.011977
Goedel-32B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,4,41748,0.009581
Goedel-32B,FATE-H,Tactic failure,'ID' requires a term of the form 'ID' where 'ID' appears in the local context,4,41748,0.009581
Goedel-32B,FATE-H,Tactic failure,not a comparison: 'TERM',4,41748,0.009581
Goedel-32B,FATE-H,Missing instance,"invalid 'TYPE' step, failed to synthesize 'TYPE' instance",3,41748,0.007186
Goedel-32B,FATE-H,Syntax error,unexpected identifier; expected 'TOKEN',3,41748,0.007186
Goedel-32B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or 'TOKEN',3,41748,0.007186
Goedel-32B,FATE-H,Tactic failure,"invalid simp theorem: Expected a proposition, but found",3,41748,0.007186
Goedel-32B,FATE-H,Type mismatch,"failed to elaborate eliminator, expected type is not available",3,41748,0.007186
Goedel-32B,FATE-H,Type mismatch,"invalid 'ID' step, relation expected",3,41748,0.007186
Goedel-32B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected term,2,41748,0.004791
Goedel-32B,FATE-H,Tactic failure,'ID' requires either an expected type or a value.,2,41748,0.004791
Goedel-32B,FATE-H,Tactic failure,aesop: internal error: extracted proof has metavariables.,2,41748,0.004791
Goedel-32B,FATE-H,Tactic failure,failed to prove positivity/nonnegativity/nonzeroness,2,41748,0.004791
Goedel-32B,FATE-H,Tactic failure,gcongr did not make progress,2,41748,0.004791
Goedel-32B,FATE-H,Tactic failure,"ring failed, ring expressions not equal",2,41748,0.004791
Goedel-32B,FATE-H,Tactic failure,"tactic 'ID' failed, no if-then-else conditions to split",2,41748,0.004791
Goedel-32B,FATE-H,Tactic failure,"unnecessary 'ID' argument, variable 'ID' is generalized automatically",2,41748,0.004791
Goedel-32B,FATE-H,Termination failure,fail to show termination for,2,41748,0.004791
Goedel-32B,FATE-H,Type mismatch,expected type must not contain free variables,2,41748,0.004791
Goedel-32B,FATE-H,Type mismatch,failed to solve universe constraint,2,41748,0.004791
Goedel-32B,FATE-H,Type mismatch,invalid field notation: Identifier or numeral expected,2,41748,0.004791
Goedel-32B,FATE-H,Type mismatch,invalid pattern: constructor or constant marked with 'ID' expected,2,41748,0.004791
Goedel-32B,FATE-H,Type mismatch,"invalid {...} notation, structure type expected",2,41748,0.004791
Goedel-32B,FATE-H,Type mismatch,type mismatch when assigning motive,2,41748,0.004791
Goedel-32B,FATE-H,Syntax error,expected checkColGt,1,41748,0.002395
Goedel-32B,FATE-H,Syntax error,missing end of character literal,1,41748,0.002395
Goedel-32B,FATE-H,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",1,41748,0.002395
Goedel-32B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN', identifier or term",1,41748,0.002395
Goedel-32B,FATE-H,Tactic failure,aesop: exceeded maximum number of normalisation iterations (NUM). This means normalisation probably got stuck in an infinite loop.,1,41748,0.002395
Goedel-32B,FATE-H,Tactic failure,aesop: internal error: introducing rapps not found for these mvars: [_uniq.NUM],1,41748,0.002395
Goedel-32B,FATE-H,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonnegativity if desired",1,41748,0.002395
Goedel-32B,FATE-H,Tactic failure,invalid 'ID' modifier: Cannot be applied to a rule that rewrites to 'ID',1,41748,0.002395
Goedel-32B,FATE-H,Tactic failure,"invalid 'ID' tactic, expected type has not been provided",1,41748,0.002395
Goedel-32B,FATE-H,Type mismatch,expected a term of the shape 'ID' or 'ID',1,41748,0.002395
Goedel-32B,FATE-H,Type mismatch,"invalid 'ID' notation, argument",1,41748,0.002395
Goedel-32B,FATE-H,Unresolved name,'ID' has already been declared,1,41748,0.002395
Goedel-32B,FATE-M,Missing instance,failed to synthesize instance of type class,8730,31855,27.405431
Goedel-32B,FATE-M,Unresolved name,unknown constant 'ID',5995,31855,18.819652
Goedel-32B,FATE-M,Unsolved goals,unsolved goals,3468,31855,10.886831
Goedel-32B,FATE-M,Unresolved name,unknown identifier 'ID',2093,31855,6.570397
Goedel-32B,FATE-M,Type mismatch,type mismatch,1995,31855,6.262753
Goedel-32B,FATE-M,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",1280,31855,4.018208
Goedel-32B,FATE-M,Type mismatch,application type mismatch: The argument,1007,31855,3.161199
Goedel-32B,FATE-M,Tactic failure,tactic 'ID' made no progress,961,31855,3.016795
Goedel-32B,FATE-M,Tactic failure,no goals to be solved,912,31855,2.862973
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, nested error",748,31855,2.348140
Goedel-32B,FATE-M,Type mismatch,"type mismatch: After simplification, term",539,31855,1.692042
Goedel-32B,FATE-M,Type mismatch,function expected at 'ID',514,31855,1.613561
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",371,31855,1.164652
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, could not unify the conclusion of 'ID'",311,31855,0.976299
Goedel-32B,FATE-M,Tactic failure,linarith failed to find a contradiction,226,31855,0.709465
Goedel-32B,FATE-M,Type mismatch,"invalid 'ID' step, left-hand side is",175,31855,0.549364
Goedel-32B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or identifier,164,31855,0.514833
Goedel-32B,FATE-M,Tactic failure,omega could not prove the goal:,164,31855,0.514833
Goedel-32B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',143,31855,0.448909
Goedel-32B,FATE-M,Unresolved name,"overloaded, errors",143,31855,0.448909
Goedel-32B,FATE-M,Type mismatch,insufficient number of fields for 'ID' constructor,140,31855,0.439491
Goedel-32B,FATE-M,Tactic failure,invalid rewrite argument: expected an equality or iff proof or definition name,132,31855,0.414378
Goedel-32B,FATE-M,Type mismatch,invalid field notation: Field projection operates on types of the form 'ID' where C is a constant. The expression,131,31855,0.411238
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, insufficient number of binders",114,31855,0.357872
Goedel-32B,FATE-M,Unresolved name,ambiguous term,113,31855,0.354732
Goedel-32B,FATE-M,Missing instance,failed to synthesize,110,31855,0.345315
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",108,31855,0.339036
Goedel-32B,FATE-M,Missing instance,typeclass instance problem is stuck,67,31855,0.210328
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, motive is not type correct",64,31855,0.200910
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",44,31855,0.138126
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, could not unify the type of 'ID'",40,31855,0.125569
Goedel-32B,FATE-M,Unresolved name,'ID' is not a field of structure 'ID',40,31855,0.125569
Goedel-32B,FATE-M,Tactic failure,tactic 'ID' failed for proposition,38,31855,0.119291
Goedel-32B,FATE-M,Type mismatch,fields missing: 'ID',36,31855,0.113012
Goedel-32B,FATE-M,Type mismatch,invalid projection: Projection operates on structure-like types with fields. The expression,36,31855,0.113012
Goedel-32B,FATE-M,Tactic failure,tactic 'ID' failed,35,31855,0.109873
Goedel-32B,FATE-M,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",35,31855,0.109873
Goedel-32B,FATE-M,Type mismatch,invalid 'ID' notation: The expected type of this term could not be determined,29,31855,0.091038
Goedel-32B,FATE-M,Syntax error,expected token,27,31855,0.084759
Goedel-32B,FATE-M,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,27,31855,0.084759
Goedel-32B,FATE-M,Missing instance,type class instance expected,24,31855,0.075341
Goedel-32B,FATE-M,Tactic failure,could not synthesize default value for field 'ID' of 'ID' using tactics,24,31855,0.075341
Goedel-32B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected command,23,31855,0.072202
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, 'TERM'",23,31855,0.072202
Goedel-32B,FATE-M,Type mismatch,'ID' expression has type,23,31855,0.072202
Goedel-32B,FATE-M,Type mismatch,"invalid 'ID' step, right-hand side is",23,31855,0.072202
Goedel-32B,FATE-M,Tactic failure,alternative 'ID' has not been provided,22,31855,0.069063
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",22,31855,0.069063
Goedel-32B,FATE-M,Tactic failure,invalid alternative name 'ID',21,31855,0.065924
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, the left-hand side does not match the right-hand side",21,31855,0.065924
Goedel-32B,FATE-M,Type mismatch,invalid 'ID' notation: The expected type 'ID' is not an inductive type,19,31855,0.059645
Goedel-32B,FATE-M,Type mismatch,"invalid coercion notation, expected type is not known",17,31855,0.053367
Goedel-32B,FATE-M,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonnegativity if desired",16,31855,0.050228
Goedel-32B,FATE-M,Type mismatch,stuck at solving universe constraint,16,31855,0.050228
Goedel-32B,FATE-M,Type mismatch,"invalid pattern variable 'ID', must be atomic",15,31855,0.047088
Goedel-32B,FATE-M,Type mismatch,"type expected, got",14,31855,0.043949
Goedel-32B,FATE-M,Tactic failure,no applicable extensionality theorem found for 'TYPE',13,31855,0.040810
Goedel-32B,FATE-M,Tactic failure,interval_cases failed: could not find upper bound on 'TERM',12,31855,0.037671
Goedel-32B,FATE-M,Type mismatch,"failed to elaborate eliminator, expected type is not available",12,31855,0.037671
Goedel-32B,FATE-M,Type mismatch,invalid 'ID' notation: The expected type,11,31855,0.034531
Goedel-32B,FATE-M,Type mismatch,invalid field notation: Type of,10,31855,0.031392
Goedel-32B,FATE-M,Tactic failure,"invalid simp theorem: Expected a proposition, but found",9,31855,0.028253
Goedel-32B,FATE-M,Type mismatch,invalid projection: index 'ID' is invalid for this structure,9,31855,0.028253
Goedel-32B,FATE-M,Syntax error,unexpected syntax,8,31855,0.025114
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, no applicable constructor found",8,31855,0.025114
Goedel-32B,FATE-M,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",7,31855,0.021975
Goedel-32B,FATE-M,Type mismatch,"invalid projection: Projections cannot be used on functions, and",7,31855,0.021975
Goedel-32B,FATE-M,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",7,31855,0.021975
Goedel-32B,FATE-M,Syntax error,unexpected identifier; expected command,6,31855,0.018835
Goedel-32B,FATE-M,Tactic failure,not a comparison: 'TERM',6,31855,0.018835
Goedel-32B,FATE-M,Type mismatch,mod_cast has type,6,31855,0.018835
Goedel-32B,FATE-M,Resource exhaustion,maximum recursion depth has been reached,5,31855,0.015696
Goedel-32B,FATE-M,Tactic failure,case tag 'ID' not found,5,31855,0.015696
Goedel-32B,FATE-M,Type mismatch,invalid 'ID' notation: The expected type 'ID' has more than one constructor,5,31855,0.015696
Goedel-32B,FATE-M,Type mismatch,invalid pattern variable: Variable name 'ID' was already used,5,31855,0.015696
Goedel-32B,FATE-M,Tactic failure,'ID' requires either an expected type or a value.,4,31855,0.012557
Goedel-32B,FATE-M,Tactic failure,aesop: internal error: introducing rapps not found for these mvars: [_uniq.NUM],4,31855,0.012557
Goedel-32B,FATE-M,Type mismatch,"invalid 'ID' step, relation expected",4,31855,0.012557
Goedel-32B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected term,3,31855,0.009418
Goedel-32B,FATE-M,Tactic failure,expected 'ID' or indented tactic sequence,3,31855,0.009418
Goedel-32B,FATE-M,Tactic failure,failed to rewrite using equation theorems for 'ID',3,31855,0.009418
Goedel-32B,FATE-M,Type mismatch,invalid projection: Projection operates on types of the form 'ID' where C is a constant. The expression,3,31855,0.009418
Goedel-32B,FATE-M,Unresolved name,"ambiguous term, use fully qualified name, possible interpretations ['ID']",3,31855,0.009418
Goedel-32B,FATE-M,Syntax error,unexpected end of input; expected 'TOKEN',2,31855,0.006278
Goedel-32B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or 'TOKEN',2,31855,0.006278
Goedel-32B,FATE-M,Tactic failure,"extensionality tactic only applies to equalities, not 'TYPE'",2,31855,0.006278
Goedel-32B,FATE-M,Tactic failure,"failed to prove nonzeroness, but it would be possible to prove nonnegativity if desired",2,31855,0.006278
Goedel-32B,FATE-M,Tactic failure,gcongr did not make progress,2,31855,0.006278
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, no if-then-else conditions to split",2,31855,0.006278
Goedel-32B,FATE-M,Termination failure,fail to show termination for,2,31855,0.006278
Goedel-32B,FATE-M,Type mismatch,expected type must not contain free variables,2,31855,0.006278
Goedel-32B,FATE-M,Type mismatch,invalid projection: Type of,2,31855,0.006278
Goedel-32B,FATE-M,Unresolved name,unknown tactic 'ID',2,31855,0.006278
Goedel-32B,FATE-M,Missing instance,"invalid 'TYPE' step, failed to synthesize 'TYPE' instance",1,31855,0.003139
Goedel-32B,FATE-M,Missing instance,"synthesized type class instance is not definitionally equal to expression inferred by typing rules, synthesized",1,31855,0.003139
Goedel-32B,FATE-M,Syntax error,unexpected identifier; expected 'TOKEN',1,31855,0.003139
Goedel-32B,FATE-M,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",1,31855,0.003139
Goedel-32B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,1,31855,0.003139
Goedel-32B,FATE-M,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN'",1,31855,0.003139
Goedel-32B,FATE-M,Syntax error,unexpected type ascription,1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,'ID' requires a term of the form 'ID' where 'ID' appears in the local context,1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,aesop: internal error: extracted proof has metavariables.,1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,elaboration function for 'ID' has not been implemented,1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,interval_cases failed: unsupported type 'TYPE',1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,"invalid 'ID' tactic, expected type has not been provided",1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,missing cases:,1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,not a positivity goal,1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,"ring failed, ring expressions not equal",1,31855,0.003139
Goedel-32B,FATE-M,Tactic failure,"tactic 'ID' failed, did not find equation for eliminating 'ID'",1,31855,0.003139
